information media,total,young,middle,old,type
Web search<br>engines,69.34,75.26,60.07,51.94,online
Information<br>websites,52.83,58.91,44.72,32.39,online
Online<br>newspapers,46.32,50.04,42.17,32.39,online
Social<br>media,41.78,48.59,32.91,18.43,online
Smartphone apps,35.19,39.43,28.75,22.34,online
Blog/Forum,27.04,30.96,22.04,13.40,online
 ,,,,,online
Television,59.34,59.49,54.95,67.03,offline
Word of<br>mouth,37.89,41.96,27.16,34.07,offline
Radio,36.38,33.20,40.58,48.02,offline
Newspapers,20.53,16.74,26.52,31.84,offline
Teletext,15.80,14.40,18.53,19.00,offline
Sms services,9.94,9.73,11.82,7.81,offline
